@id,name,@lat,@lon,railway,public_transport
27381931,Ebenhausen (Unterfr),50.1317691,10.1377468,station,station
27385328,Heilbronn Hauptbahnhof,49.1431403,9.2076637,station,station
27385329,Bad Friedrichshall Hauptbahnhof,49.2313702,9.1999497,station,station
27394018,Schierbrok,53.0849351,8.5785995,halt,station
27394797,Rastede,53.2446036,8.1910167,station,station
27394802,Varel (Oldb),53.3990747,8.1502302,station,station
27394918,Sande,53.4900687,8.0316614,station,station
27396840,Potsdam Medienstadt Babelsberg,52.3825232,13.1220475,station,station
27401001,Bahnhof Historische Pferdebahn,53.7694838,7.6890193,station,station
27431960,Rheinbrohl,50.4896946,7.3331913,station,station
27434715,Bad Hönningen,50.5138047,7.3107386,station,station
27453687,Würzburg Hauptbahnhof,49.8021139,9.9362469,station,station
27464973,Bingen (Rhein) Hauptbahnhof,49.9688103,7.8834854,station,station
27528155,Bellevue,52.5199850,13.3480704,halt,station
27556933,Berlin Zoologischer Garten,52.5074342,13.3325608,station,station
27563383,Buchenhain,48.0312639,11.4974607,halt,station
27586255,Ruhleben,52.5256744,13.2414191,station,station
27612110,Feuerwehrstraße,50.1438815,8.6918498,station,station
27618747,Marbachweg/Sozialzentrum,50.1421988,8.6844969,station,station
27666887,Freiburg Messe/Universität,48.0128730,7.8327576,halt,stop_position
28121239,Deutsche Nationalbibliothek,50.1310808,8.6840203,station,station
28126956,Köln Messe/Deutz (tief),50.9417015,6.9738248,station,station
28156535,Endersbach,48.8132118,9.3703092,station,station
28179678,Berg (Pfalz),48.9807465,8.2127578,halt,station
28201702,Am Hart,48.1959252,11.5718148,station,station
28201749,Frankfurter Ring,48.1868168,11.5727203,station,station
28202314,Milbertshofen,48.1809043,11.5731525,station,station
28205595,Harthof,48.2043435,11.5693933,station,station
28205626,Hasenbergl,48.2134294,11.5549136,station,station
28238954,Georg-Brauchle-Ring,48.1774989,11.5290587,station,station
28348441,Reichenbach (Fils),48.7080024,9.4640170,station,station
28348479,Ebersbach (Fils),48.7160521,9.5263897,station,station
28348513,Uhingen,48.7086172,9.5857086,station,
28348570,Eislingen (Fils),48.6967865,9.7037748,station,
28348584,Süßen,48.6836164,9.7604024,station,station
28348602,Geislingen West,48.6308957,9.8216285,station,station
28384804,Lemgo,52.0225015,8.8949914,station,station
28453251,Dettenhausen,48.6067408,9.0931497,station,station
28491585,Reuth (b Plauen/Vogtl),50.4759342,11.9543698,station,station
28783089,Willy-Brandt-Platz,50.1093939,8.6749413,station,station
28830153,Bernau (bei Berlin),52.6753854,13.5919415,station,station
28830220,Bernau-Friedenstal,52.6683942,13.5646108,halt,station
28830242,Röntgental,52.6486814,13.5136021,halt,station
28830281,Karow,52.6152148,13.4694647,station,station
28889942,Böblingen Zimmerschlag,48.6707055,9.0351259,halt,station
28889955,Holzgerlingen Hülben,48.6447236,9.0086143,station,station
28889958,Holzgerlingen Bahnhof,48.6366931,9.0072612,station,station
28889964,Holzgerlingen Buch,48.6267915,9.0247732,halt,station
28889970,Weil im Schönbuch Troppel,48.6201651,9.0429269,halt,station
28889974,Weil im Schönbuch Röte,48.6208646,9.0503334,halt,station
28889983,Weil im Schönbuch Untere Halde,48.6203316,9.0629347,halt,station
29030440,Messe Süd (Eichkamp),52.4986377,13.2702326,halt,station
29040713,Horneburg,53.5082936,9.5768845,station,station
29040843,Stade,53.5960704,9.4775887,station,station
29041099,Cadenberge,53.7679539,9.0584937,station,station
29041600,Wingst,53.7458049,9.0977925,halt,station
29041617,Hemmoor,53.6839397,9.1659573,halt,station
29041639,Hammah,53.6124004,9.3675192,halt,station
29045595,Amrumer Straße,52.5423332,13.3501546,station,station
29046450,Zoologischer Garten,52.5058669,13.3330236,station,station
29046970,Kurfürstendamm,52.5038223,13.3314365,station,station
29046976,Güntzelstraße,52.4920843,13.3310064,station,station
29046979,Berliner Straße,52.4873298,13.3310103,station,station
29046999,Friedrich-Wilhelm-Platz,52.4721217,13.3287301,station,station
29047043,Walther-Schreiber-Platz,52.4653254,13.3282601,station,station
29047045,Schloßstraße,52.4614810,13.3250946,station,station
29047047,Rathaus Steglitz,52.4567983,13.3209344,station,station
29059768,Gießen Licher Straße,50.5816316,8.6971332,halt,stop_position
29070457,Beusselstraße,52.5344077,13.3293873,station,station
29075514,Reichenschwand,49.5150320,11.3734698,halt,station
29107044,Enzberg,48.9339754,8.7999580,halt,
29107524,Mühlacker Rößlesweg,48.9564170,8.8607185,halt,station
29123754,Theodor-Heuss-Platz,52.5099869,13.2722217,station,station
29123761,Neu-Westend,52.5162154,13.2592357,station,station
29123763,Deutsche Oper,52.5118370,13.3105328,station,station
