bf_nr,aufgabentraeger,bahnhof,preisklasse,bundesland,preis_spnv,preis_spfv,bemerkung
166TLBV,,Apolda,4,Thüringen,5.03,13.4,
168VMBW,,Appenweier,4,Baden-Württemberg,3.92,10.18,
169NWL,,Ardey,7,Nordrhein-Westfalen,2.48,6.41,
171NASA,,Arensdorf(bKöthen),6,Sachsen-Anhalt,3.34,8.9,
172TLBV,,Arenshausen,6,Thüringen,3.43,9.13,
173RMV,,Arfurt(Lahn),6,Hessen,2.48,6.52,
,175ZÖPNVSüd,Armsheim,5,Rheinland-Pfalz,2.95,7.78,
176BEG,,Arnbach,7,Bayern,2.13,5.65,
177NWL,,Arnsberg(Westf),4,Nordrhein-Westfalen,5.03,11.82,
4329NWL,,Arnsberg-Neheim-Hüsten,5,Nordrhein-Westfalen,3.91,9.89,
178BEG,,Arnschwang,6,Bayern,2.89,7.59,
179VVO,,Arnsdorf(bDresden),5,Sachsen,2.08,5.53,
180TLBV,,ArnstadtHbf,4,Thüringen,5.03,13.4,
181TLBV,,ArnstadtSüd,6,Thüringen,3.43,9.13,
184goR,,Arsbeck,7,Nordrhein-Westfalen,3.48,5.28,
185TLBV,,Artern,6,Thüringen,3.43,9.13,
186BEG,,Arzberg(Oberfr),6,Bayern,2.89,7.59,
187BEG,,AschaffenburgHbf,2,Bayern,13.72,36.53,
8142BEG,,AschaffenburgHochschule,6,Bayern,2.89,7.59,
188BEG,,AschaffenburgSüd,6,Bayern,2.89,7.59,
190BEG,,Aschau(Chiemgau),6,Bayern,2.89,7.59,
191NAHSH,,Ascheberg(Holst),5,Schleswig-Holstein,3.75,9.91,
192NWL,,Ascheberg(Westf),6,Nordrhein-Westfalen,3.85,9.87,
193LNVG,,Aschendorf,6,Niedersachsen,4.23,10.34,
194NASA,,AscherslebenPbf,4,Sachsen-Anhalt,5.24,13.97,
195LNVG,,Ashausen,6,Niedersachsen,4.23,10.34,
196VRStutt,,Asperg,4,Baden-Württemberg,2.9,7.74,
