bf_nr,aufgabentraeger,bahnhof,preisklasse,bundesland,preis_spnv,preis_spfv,bemerkung
3621goR,,Leichlingen,5,Nordrhein-Westfalen,2.69,7.09,
3622RVB,,Leiferde(bGifhorn),6,Niedersachsen,4.87,10.77,
3625TLBV,,Leinefelde,3,Thüringen,9.93,26.53,
3626VRStutt,,Leinfelden,4,Baden-Württemberg,2.9,7.74,
3629BEG,,Leipheim,5,Bayern,2.72,7.01,
146ZVNL,,LeipzigAnger-Crottendorf,6,Sachsen,2.56,6.83,
1070ZVNL,,LeipzigCoppiplatz,5,Sachsen,3.24,8.61,
8312ZVNL,,LeipzigEssenerStraße,5,Sachsen,3.24,8.61,
2386ZVNL,,LeipzigGrünauerAllee,6,Sachsen,2.56,6.83,
3631ZVNL,,LeipzigHbf,1,Sachsen,29.94,79.92,
3113ZVNL,,LeipzigKarlsruherStraße,6,Sachsen,2.56,6.83,
8097ZVNL,,LeipzigMarkt,5,Sachsen,3.24,8.61,
8100ZVNL,,LeipzigMDR,6,Sachsen,2.56,6.83,
7848ZVNL,,LeipzigMesse,3,Sachsen,3.0,8.0,
4112ZVNL,,LeipzigMiltitz,6,Sachsen,2.56,6.83,
4114ZVNL,,LeipzigMiltitzerAllee,5,Sachsen,3.24,8.61,
8276ZVNL,,LeipzigMockauerStraße,5,Sachsen,3.24,8.61,
8275ZVNL,,LeipzigNord,6,Sachsen,2.56,6.83,
1596ZVNL,,LeipzigWerkstättenstraße,6,Sachsen,2.56,6.83,
8098ZVNL,,LeipzigWilhelm-Leuschner-Platz,5,Sachsen,3.24,8.61,
3636ZVNL,,Leipzig-Connewitz,5,Sachsen,3.24,8.61,
8018ZVNL,,Leipzig-Engelsdorf,5,Sachsen,3.24,8.61,
3637ZVNL,,Leipzig-Gohlis,4,Sachsen,2.95,7.87,
3639ZVNL,,Leipzig-Heiterblick,6,Sachsen,2.56,6.83,
2885ZVNL,,Leipzig-Holzhausen,7,Sachsen,2.79,7.45,
3641ZVNL,,Leipzig-Knauthain,6,Sachsen,2.56,6.83,
3642ZVNL,,Leipzig-Leutzsch,5,Sachsen,3.24,8.61,
3711ZVNL,,Leipzig-Liebertwolkwitz,6,Sachsen,2.56,6.83,
3731ZVNL,,Leipzig-Lindenau,6,Sachsen,2.56,6.83,
3877ZVNL,,Leipzig-Lützschena,6,Sachsen,2.56,6.83,
3643ZVNL,,Leipzig-Möckern,4,Sachsen,2.95,7.87,
4157ZVNL,,Leipzig-Mölkau,7,Sachsen,2.79,7.45,
8094ZVNL,,Leipzig-Olbrichtstraße,6,Sachsen,2.56,6.83,
3644ZVNL,,Leipzig-Paunsdorf,5,Sachsen,3.24,8.61,
3645ZVNL,,Leipzig-Plagwitz,5,Sachsen,3.24,8.61,
5412ZVNL,,Leipzig-Rückmarsdorf,6,Sachsen,2.56,6.83,
5816ZVNL,,Leipzig-Sellerhausen,6,Sachsen,2.56,6.83,
8096ZVNL,,Leipzig-Slevogtstraße,6,Sachsen,2.56,6.83,
3646ZVNL,,Leipzig-Stötteritz,4,Sachsen,2.95,7.87,
3647ZVNL,,Leipzig-Thekla,5,Sachsen,3.24,8.61,
3632ZVNL,,Leipzig-Völkerschlachtdenkmal,5,Sachsen,3.24,8.61,
3649ZVNL,,Leipzig-Wahren,5,Sachsen,3.24,8.61,
3650VMS,,Leisnig,6,Sachsen,3.63,9.66,
3651NASA,,Leißling,6,Sachsen-Anhalt,3.34,8.9,
3652LNVG,,Leitstade,7,Niedersachsen,2.85,7.6,
3654VRR,,Lembeck,6,Nordrhein-Westfalen,2.76,7.0,
3655LNVG,,Lemförde,5,Niedersachsen,4.79,12.4,
3657RH,,Lemmie,5,Niedersachsen,4.35,11.59,
3658NWL,,Lendringsen,6,Nordrhein-Westfalen,3.85,9.87,
894RVB,,Lengede-Broistedt,6,Niedersachsen,4.87,10.77,
3660ZVV,,Lengenfeld(Vogtl),6,Sachsen,3.51,9.38,
3661BEG,,Lengenwang,6,Bayern,2.89,7.59,
3662NWL,,Lengerich(Westf),5,Nordrhein-Westfalen,3.91,9.89,
3664BEG,,Lenggries,6,Bayern,2.89,7.59,
8085LNVG,,Lenglern,7,Niedersachsen,2.85,7.6,
104NWL,,Lennestadt-Altenhundem,4,Nordrhein-Westfalen,5.03,11.82,
2264NWL,,Lennestadt-Grevenbrück,5,Nordrhein-Westfalen,3.91,9.89,
4024NWL,,Lennestadt-Meggen,6,Nordrhein-Westfalen,3.85,9.87,
3666NAHSH,,Lensahn,7,Schleswig-Holstein,2.21,5.91,
3667VRStutt,,Leonberg,4,Baden-Württemberg,2.9,7.74,
3668NWL,,Leopoldstal,7,Nordrhein-Westfalen,2.48,6.41,
3669LNVG,,Leschede,6,Niedersachsen,4.23,10.34,
3671NWL,,Letmathe-Dechenhöhle,7,Nordrhein-Westfalen,2.48,6.41,
3672VBB,,Letschin,6,Brandenburg,3.98,10.22,
3673NWL,,Lette(KrCoesfeld),7,Nordrhein-Westfalen,2.48,6.41,
3674RH,,Letter,5,Niedersachsen,4.35,11.59,
3676TLBV,,Leubingen,6,Thüringen,3.43,9.13,
3677ZVRPNord,,Leubsdorf(Rhein),6,Rheinland-Pfalz,2.27,5.85,
831RMV,,Leun/Braunfels,6,Hessen,2.48,6.52,
3681NASA,,LeunaWerkeNord,6,Sachsen-Anhalt,3.34,8.9,
3682NASA,,LeunaWerkeSüd,6,Sachsen-Anhalt,3.34,8.9,
3683TLBV,,Leutenberg,6,Thüringen,3.43,9.13,
3684BEG,,Leuterschach,7,Bayern,2.13,5.65,
3686BEG,,Leutershausen-Wiedersbach,6,Bayern,2.89,7.59,
3687ZVRPNord,,Leutesdorf(Rhein),5,Rheinland-Pfalz,2.59,5.24,
3688VBB,,Leuthen(bCottbus),6,Brandenburg,3.98,10.22,
3689VMBW,,Leutkirch,5,Baden-Württemberg,2.91,7.35,
437goR,,LeverkusenChempark,5,Nordrhein-Westfalen,2.69,7.09,
3691goR,,LeverkusenMitte,4,Nordrhein-Westfalen,2.69,6.76,
3692goR,,Leverkusen-Küppersteg,5,Nordrhein-Westfalen,2.69,7.09,
3694goR,,Leverkusen-Manfort,5,Nordrhein-Westfalen,2.69,,"7,09Namealt:Leverkusen-Schlebusch"
3693goR,,Leverkusen-Rheindorf,5,Nordrhein-Westfalen,2.69,7.09,
3696RMV,,Lich(Oberhess),5,Hessen,2.4,6.3,
3699VMS,,Lichtenberg(Erzgeb),7,Sachsen,2.75,7.32,
3700BEG,,Lichtenfels,3,Bayern,4.75,12.53,
3703VBBBerlin,,Lichtenrade,5,Berlin,1.96,5.19,
3704VMS,,Lichtenstein(Sachs),6,Sachsen,3.63,9.66,
3705VMS,,Lichtentanne(Sachs),6,Sachsen,3.63,9.66,
3706TLBV,,Lichtentanne(Thür),7,Thüringen,2.7,7.22,
3707BEG,,Lichtenthal,7,Bayern,2.13,5.65,
7730VBBBerlin,,LichterfeldeSüd,5,Berlin,1.96,5.19,
3709VBB,,Liebenthal(Prign),7,Brandenburg,3.21,8.56,
3712RMV,,Lieblos,6,Hessen,2.48,6.52,
3716VMV,,Lietzow(Rügen),6,Mecklenburg-Vorpommern,4.2,11.06,
3717ZPS,,"Limbach(bHomburg,Saar)",6,Saarland,1.54,4.04,
3719ZVV,,Limbach(Vogtl),6,Sachsen,3.51,9.38,
3720RMV,,Limburg(Lahn),3,Hessen,4.14,10.93,
3723RMV,,LimburgSüd,4,Hessen,2.78,6.42,
3721ZÖPNVSüd,,Limburgerhof,4,Rheinland-Pfalz,2.84,7.4,
3722VMS,,Limmritz(Sachs),6,Sachsen,3.63,9.66,
3724NASA,,Linda(Elster),7,Sachsen-Anhalt,2.77,7.39,
3725VMBW,,Lindach,6,Baden-Württemberg,2.35,6.18,
3728BEG,,Lindau-Aeschach,6,Bayern,2.89,7.59,
3727BEG,,Lindau-Insel,3,Bayern,4.75,,"12,53Namealt:LindauHbf"
7263NAHSH,,Lindaunis,7,Schleswig-Holstein,2.21,5.91,
3729BEG,,Lindau-Reutin,3,Bayern,4.75,12.53,
3732VBB,,Lindenberg(Mark),7,Brandenburg,3.21,8.56,
3733RMV,,Lindenholzhausen,6,Hessen,2.48,6.52,
3734goR,,Lindern,4,Nordrhein-Westfalen,2.69,6.76,
3736LNVG,,Lindhorst(Schaumb-Lippe),6,Niedersachsen,4.23,10.34,
3740LNVG,,Lindwedel,6,Niedersachsen,4.23,10.34,
3741LNVG,,Lingen(Ems),4,Niedersachsen,4.96,13.09,
3742ZÖPNVSüd,,Lingenfeld,6,Rheinland-Pfalz,1.99,5.22,
3743LNVG,,Linsburg,6,Niedersachsen,4.23,10.34,
3744ZVRPNord,,Linz(Rhein),4,Rheinland-Pfalz,4.57,11.36,
3746NWL,,Lippstadt,4,Nordrhein-Westfalen,5.03,11.82,
3748ZVRPNord,,Lissendorf,6,Rheinland-Pfalz,2.27,5.85,
3749NWL,,Listerscheid,6,Nordrhein-Westfalen,3.85,9.87,
3751ZVON,,Löbau(Sachs),4,Sachsen,8.22,21.92,
3754ZVNL,,Lobstädt,6,Sachsen,2.56,6.83,
3756VMBW,,Löcherberg,7,Baden-Württemberg,1.9,5.07,
3757BEG,,Lochham,4,Bayern,3.19,7.89,
3758VMV,,Löcknitz,7,Mecklenburg-Vorpommern,3.47,9.27,
3760LNVG,,Lödingsen,7,Niedersachsen,2.85,7.6,
3761ZVRPNord,,Löf,6,Rheinland-Pfalz,2.27,5.85,
3762VMBW,,Löffingen,6,Baden-Württemberg,2.35,6.18,
3763BEG,,Lohgarten-Roth,7,Bayern,2.13,5.65,
3764BEG,,Lohhof,5,Bayern,2.72,7.01,
3765VVO,,Lohmen,6,Sachsen,2.85,7.61,
3766RMV,,Löhnberg,6,Hessen,2.48,6.52,
3767LNVG,,Lohne(Oldb),6,Niedersachsen,4.23,10.34,
3768NWL,,Löhne(Westf),4,Nordrhein-Westfalen,5.03,11.82,
3769ZÖPNVSüd,,Lohnweiler,6,Rheinland-Pfalz,1.99,5.22,
3773VVO,,Lohsa,7,Sachsen,2.46,6.58,
3775TLBV,,Loitsch-Hohenleuben,6,Thüringen,3.43,9.13,
3776RMV,,Lollar,5,Hessen,2.4,6.3,
3778VMBW,,Lonsee,6,Baden-Württemberg,2.35,6.18,
3779BEG,,Loppenhausen,7,Bayern,2.13,5.65,
3780RMV,,Lorch(Rhein),6,Hessen,2.48,6.52,
3781VMBW,,Lorch(Württ),5,Baden-Württemberg,2.91,7.35,
3782RMV,,Lorchhausen,6,Hessen,2.48,6.52,
8043VMBW,,LörrachDammstraße,7,Baden-Württemberg,1.9,5.07,
3783VMBW,,LörrachHbf,4,Baden-Württemberg,3.92,10.18,
8044VMBW,,LörrachMuseum/Burghof,5,Baden-Württemberg,2.91,7.35,
8045VMBW,,LörrachSchwarzwaldstraße,5,Baden-Württemberg,2.91,7.35,
896VMBW,,Lörrach-Brombach/Hauingen,6,Baden-Württemberg,2.35,6.18,
2441VMBW,,Lörrach-Haagen/Messe,6,Baden-Württemberg,2.35,6.18,
3784VMBW,,Lörrach-Stetten,6,Baden-Württemberg,2.35,6.18,
3785RMV,,Lorsbach,4,Hessen,2.78,6.42,
3786VRN,,Lorsch,6,Hessen,2.31,6.13,
3787VRN,,Lörzenbach-Fahrenbach,7,Hessen,1.33,3.5,
3790VMBW,,Loßburg-Rodt,7,Baden-Württemberg,1.9,5.07,
3795goR,,Lövenich,5,Nordrhein-Westfalen,2.69,7.09,
3796VBB,,Löwenberg(Mark),6,Brandenburg,3.98,10.22,
3798VMBW,,Löwental,6,Baden-Württemberg,2.35,6.18,
3799LNVG,,Loxstedt,6,Niedersachsen,4.23,10.34,
3801NWL,,Lübbecke(Westf),6,Nordrhein-Westfalen,3.85,9.87,
3802VBB,,Lübben(Spreewald),4,Brandenburg,5.17,13.68,
3805VBB,,Lübbenau(Spreewald),4,Brandenburg,5.17,13.68,
3806LNVG,,Lübberstedt,6,Niedersachsen,4.23,10.34,
3808NAHSH,,LübeckFlughafen,6,Schleswig-Holstein,3.53,9.43,
3807NAHSH,,LübeckHbf,2,Schleswig-Holstein,26.39,70.43,
8266NAHSH,,LübeckHochschulstadtteil,7,Schleswig-Holstein,2.21,5.91,
8300NAHSH,,Lübeck-DänischburgIKEA,6,Schleswig-Holstein,3.53,9.43,
3810NAHSH,,Lübeck-Kücknitz,6,Schleswig-Holstein,3.53,9.43,
8378NAHSH,,Lübeck-Moisling,5,Schleswig-Holstein,3.75,9.91,
2596NAHSH,,Lübeck-StJürgen,6,Schleswig-Holstein,3.53,9.43,
3812NAHSH,,Lübeck-TravemündeHafen,6,Schleswig-Holstein,3.53,9.43,
3813NAHSH,,Lübeck-TravemündeSkandinavienkai,6,Schleswig-Holstein,3.53,9.43,
3814NAHSH,,Lübeck-TravemündeStrand,6,Schleswig-Holstein,3.53,9.43,
3815VMV,,Lüblow(Meckl),6,Mecklenburg-Vorpommern,4.2,11.06,
3817VBB,,Lubolz,6,Brandenburg,3.98,10.22,
3818NASA,,Lübs(bMagdeburg),6,Sachsen-Anhalt,3.34,8.9,
3819VMV,,Lübstorf,6,Mecklenburg-Vorpommern,4.2,11.06,
5634VBB,,Luckaitztal,6,Brandenburg,3.98,10.22,
6305VBB,,Luckau-Uckro,6,Brandenburg,3.98,10.22,
3825NASA,,Luckenau,6,Sachsen-Anhalt,3.34,8.9,
3827VBB,,Luckenwalde,5,Brandenburg,3.44,9.13,
3828NWL,,Lüdenscheid,6,Nordrhein-Westfalen,3.85,9.87,
915NWL,,LüdenscheidBrügge(Westf),7,Nordrhein-Westfalen,2.48,6.41,
3830VMV,,Lüdersdorf(Meckl),7,Mecklenburg-Vorpommern,3.47,9.27,
3831BEG,,Ludersheim,6,Bayern,2.89,7.59,
3832NWL,,Lüdinghausen,6,Nordrhein-Westfalen,3.85,9.87,
1938NVV,,Ludwigsau-Friedlos,6,Hessen,2.73,7.26,
3833VMBW,,Ludwigsburg,3,Baden-Württemberg,5.29,13.61,
3834BEG,,Ludwigschorgast,6,Bayern,2.89,7.59,
3835VBB,,Ludwigsfelde,4,Brandenburg,5.17,13.68,
8240VBB,,Ludwigsfelde-Struveshof,6,Brandenburg,3.98,10.22,
3836VMBW,,Ludwigshafen(Bodensee),6,Baden-Württemberg,2.35,6.18,
3837ZÖPNVSüd,,Ludwigshafen(Rhein)Hbf,2,Rheinland-Pfalz,16.5,44.03,
7385ZÖPNVSüd,,Ludwigshafen(Rhein)Mitte,3,Rheinland-Pfalz,3.96,10.57,
3838ZÖPNVSüd,,Ludwigshafen-Mundenheim,5,Rheinland-Pfalz,2.95,7.78,
3839ZÖPNVSüd,,Ludwigshafen-Oggersheim,4,Rheinland-Pfalz,2.84,7.4,
3840ZÖPNVSüd,,Ludwigshafen-Rheingönheim,5,Rheinland-Pfalz,2.95,7.78,
3841BEG,,Ludwigshöhe,6,Bayern,2.89,7.59,
3843VMV,,Ludwigslust,4,Mecklenburg-Vorpommern,5.1,12.82,
3844BEG,,Ludwigsstadt,6,Bayern,2.89,7.59,
3845BEG,,Ludwigsthal,7,Bayern,2.13,5.65,
3847NWL,,Lügde,6,Nordrhein-Westfalen,3.85,9.87,
3848BEG,,Luhe,6,Bayern,2.89,7.59,
3849BEG,,Luhe-Wildenau,6,Bayern,2.89,7.59,
3850ZPS,,Luisenthal(Saar),6,Saarland,1.54,4.04,
3854NAHSH,,Lunden,5,Schleswig-Holstein,3.75,9.91,
3855LNVG,,Lüneburg,2,Niedersachsen,22.77,59.22,
3856NWL,,LünenHbf,4,Nordrhein-Westfalen,5.03,11.82,
5032NWL,,LünenPreußen,5,Nordrhein-Westfalen,3.91,,"9,89Namealt:Preußen"
3857NWL,,Lünern,6,Nordrhein-Westfalen,3.85,9.87,
3858LNVG,,Lunestedt,6,Niedersachsen,4.23,10.34,
3861VMV,,Lüssow(Meckl),6,Mecklenburg-Vorpommern,4.2,11.06,
3862NASA,,LutherstadtEisleben,5,Sachsen-Anhalt,3.29,8.62,
3864NASA,,LutherstadtWittenbergAltstadt,6,Sachsen-Anhalt,3.34,8.9,
6667NASA,,LutherstadtWittenberg-Labetz,6,Sachsen-Anhalt,3.34,8.9,
3866NASA,,LutherstadtWittenberg-Piesteritz,6,Sachsen-Anhalt,3.34,8.9,
8024LNVG,,Lutten,7,Niedersachsen,2.85,7.6,
3870RMV,,Lütter,6,Hessen,2.48,6.52,
3871NWL,,Lutum,6,Nordrhein-Westfalen,3.85,9.87,
3872NWL,,Lützel,7,Nordrhein-Westfalen,2.48,6.41,
3876VMV,,Lützow,7,Mecklenburg-Vorpommern,3.47,9.27,
3880ZVNL,,Machern(Sachs),6,Sachsen,2.56,6.83,
3881NASA,,MagdeburgHbf,2,Sachsen-Anhalt,23.08,61.58,
3883NASA,,MagdeburgSKETIndustriepark,5,Sachsen-Anhalt,3.29,8.62,
3882NASA,,MagdeburgSüdost,5,Sachsen-Anhalt,3.29,8.62,
3884NASA,,Magdeburg-Buckau,4,Sachsen-Anhalt,5.24,13.97,
3885NASA,,Magdeburg-Eichenweiler,5,Sachsen-Anhalt,3.29,8.62,
3886NASA,,Magdeburg-Hasselbachplatz,6,Sachsen-Anhalt,3.34,8.9,
7971NASA,,Magdeburg-Herrenkrug,6,Sachsen-Anhalt,3.34,8.9,
3887NASA,,Magdeburg-Neustadt,4,Sachsen-Anhalt,5.24,13.97,
3888NASA,,Magdeburg-Rothensee,6,Sachsen-Anhalt,3.34,8.9,
3889NASA,,Magdeburg-Salbke,5,Sachsen-Anhalt,3.29,8.62,
3890NASA,,Magdeburg-Sudenburg,6,Sachsen-Anhalt,3.34,8.9,
7562VRStutt,,Magstadt,6,Baden-Württemberg,1.98,5.26,
3891VBB,,Mahlow,5,Brandenburg,3.44,9.13,
3892NASA,,Mahlwinkel,6,Sachsen-Anhalt,3.34,8.9,
8110VRStutt,,Maichingen,6,Baden-Württemberg,1.98,5.26,
8109VRStutt,,MaichingenNord,6,Baden-Württemberg,1.98,5.26,
3893ZÖPNVSüd,,Maikammer-Kirrweiler,6,Rheinland-Pfalz,1.99,5.22,
3894BEG,,Mainaschaff,6,Bayern,2.89,7.59,
6995RMV,,MainhausenZellhausen,7,Hessen,1.88,4.96,
3896BEG,,Mainleus,6,Bayern,2.89,7.59,
3897BEG,,Mainroth,6,Bayern,2.89,7.59,
2809RMV,,MaintalOst,4,Hessen,2.78,6.42,
669RMV,,MaintalWest,5,Hessen,2.4,6.3,
3898ZÖPNVSüd,,MainzHbf,2,Rheinland-Pfalz,16.5,44.03,
3899ZÖPNVSüd,,MainzNord,5,Rheinland-Pfalz,2.95,7.78,
3900ZÖPNVSüd,,MainzRömischesTheater,3,Rheinland-Pfalz,3.96,10.57,
3901RMV,,Mainz-Bischofsheim,4,Hessen,2.78,6.42,
3902ZÖPNVSüd,,Mainz-Gonsenheim,6,Rheinland-Pfalz,1.99,5.22,
3903RMV,,Mainz-Gustavsburg,4,Hessen,2.78,6.42,
3904RMV,,Mainz-Kastel,4,Hessen,2.78,6.42,
3905ZÖPNVSüd,,Mainz-Laubenheim,5,Rheinland-Pfalz,2.95,7.78,
3906ZÖPNVSüd,,Mainz-Marienborn,6,Rheinland-Pfalz,1.99,5.22,
3907ZÖPNVSüd,,Mainz-Mombach,5,Rheinland-Pfalz,2.95,7.78,
3909BEG,,Maisach,4,Bayern,3.19,7.89,
3910VMV,,Malchin,7,Mecklenburg-Vorpommern,3.47,9.27,
3911BEG,,Malching(Oberbay),6,Bayern,2.89,7.59,
3914BEG,,Mallersdorf,7,Bayern,2.13,5.65,
3916VRStutt,,Malmsheim,5,Baden-Württemberg,2.09,5.58,
3917VMBW,,Malsch,6,Baden-Württemberg,2.35,6.18,
8025VMBW,,MalschSüd,6,Baden-Württemberg,2.35,6.18,
3918NVV,,Malsfeld,6,Hessen,2.73,7.26,
469NVV,,Malsfeld-Beiseförth,6,Hessen,2.73,7.26,
4299BEG,,Mammendorf,4,Bayern,3.19,7.89,
3924BEG,,Manndorf,7,Bayern,2.13,5.65,
8155VMBW,,MannheimARENA/Maimarkt,4,Baden-Württemberg,3.92,10.18,
3929VMBW,,MannheimHandelshafen/Jungbusch,6,Baden-Württemberg,2.35,,"6,18Namealt:Mannheim-Handelshafen"
3925VMBW,,MannheimHbf,2,Baden-Württemberg,15.35,40.77,
3928VMBW,,Mannheim-FriedrichsfeldSüd,4,Baden-Württemberg,3.92,10.18,
3930VMBW,,Mannheim-Käfertal,6,Baden-Württemberg,2.35,6.18,
3931VMBW,,Mannheim-Luzenberg,5,Baden-Württemberg,2.91,7.35,
3932VMBW,,Mannheim-Neckarau,4,Baden-Württemberg,3.92,10.18,
3933VMBW,,Mannheim-Neckarstadt,6,Baden-Württemberg,2.35,6.18,
3934VMBW,,Mannheim-Rheinau,5,Baden-Württemberg,2.91,7.35,
3935VMBW,,Mannheim-Seckenheim,4,Baden-Württemberg,3.92,10.18,
3936VMBW,,Mannheim-Waldhof,4,Baden-Württemberg,3.92,10.18,
3938NASA,,Mansfeld(Südharz),7,Sachsen-Anhalt,2.77,7.39,
3941VRStutt,,Marbach(Neckar),4,Baden-Württemberg,2.9,7.74,
7148VMBW,,MarbachOstVillingen-Schwenningen,7,Baden-Württemberg,1.9,5.07,
7147VMBW,,MarbachWestVillingen-Schwenningen,7,Baden-Württemberg,1.9,5.07,
3942NWL,,Marbeck-Heiden,6,Nordrhein-Westfalen,3.85,9.87,
3943RMV,,Marburg(Lahn),3,Hessen,4.14,10.93,
3944RMV,,MarburgSüd,5,Hessen,2.4,6.3,
3946BEG,,MariaRain,7,Bayern,2.13,5.65,
8494LNVG,,Marienau(Coppenbrügge),6,Niedersachsen,4.23,10.34,
3951NASA,,Marienborn,6,Sachsen-Anhalt,3.34,8.9,
3953LNVG,,Marienhafe,6,Niedersachsen,4.23,10.34,
6768goR,,Marienheide,6,Nordrhein-Westfalen,3.77,8.76,
3955VMBW,,Markdorf(Baden),5,Baden-Württemberg,2.91,7.35,
3956NASA,,Marke,6,Sachsen-Anhalt,3.34,8.9,
3957VMBW,,Markelfingen,6,Baden-Württemberg,2.35,6.18,
3961ZVNL,,Markkleeberg,5,Sachsen,3.24,8.61,
3962ZVNL,,MarkkleebergMitte,6,Sachsen,2.56,6.83,
8297ZVNL,,MarkkleebergNord,5,Sachsen,3.24,8.61,
2017ZVNL,,Markkleeberg-Gaschwitz,5,Sachsen,3.24,8.61,
3964ZVNL,,Markkleeberg-Großstädteln,6,Sachsen,2.56,6.83,
3965ZVNL,,Markranstädt,6,Sachsen,2.56,6.83,
3966TLBV,,Marksuhl,6,Thüringen,3.43,9.13,
3968BEG,,MarktBibart,6,Bayern,2.89,7.59,
3970BEG,,MarktErlbach,6,Bayern,2.89,7.59,
3971BEG,,MarktSchwaben,3,Bayern,4.75,12.53,
3973BEG,,Marktbreit,6,Bayern,2.89,7.59,
3976BEG,,Marktleuthen,6,Bayern,2.89,7.59,
3977BEG,,Marktoberdorf,6,Bayern,2.89,7.59,
3978BEG,,MarktoberdorfSchule,7,Bayern,2.13,5.65,
3979BEG,,Marktredwitz,3,Bayern,4.75,12.53,
3980BEG,,Marktschorgast,6,Bayern,2.89,7.59,
3981VRR,,MarlMitte,6,Nordrhein-Westfalen,2.76,7.0,
3983VRR,,Marl-Hamm,6,Nordrhein-Westfalen,2.76,7.0,
3985TLBV,,Marlishausen,7,Thüringen,2.7,7.22,
3984VRR,,Marl-Sinsen,5,Nordrhein-Westfalen,2.32,5.93,
3986VBB,,Marquardt,5,Brandenburg,3.44,9.13,
3987NWL,,Marsberg,6,Nordrhein-Westfalen,3.85,9.87,
3988VMBW,,Marstetten-Aitrach,6,Baden-Württemberg,2.35,6.18,
3989VMV,,Martensdorf,6,Mecklenburg-Vorpommern,4.2,11.06,
3990BEG,,Martinlamitz,7,Bayern,2.13,5.65,
3991TLBV,,Martinroda,7,Thüringen,2.7,7.22,
3992ZÖPNVSüd,,Martinstein,6,Rheinland-Pfalz,1.99,5.22,
3993BEG,,Martinszell(Allgäu),6,Bayern,2.89,7.59,
3994BEG,,Marxgrün,7,Bayern,2.13,5.65,
3995BEG,,Marzling,6,Bayern,2.89,7.59,
3996LNVG,,Maschen,5,Niedersachsen,4.79,12.4,
3997NWL,,Massen,6,Nordrhein-Westfalen,3.85,9.87,
1532ZÖPNVSüd,,Matzenbach,7,Rheinland-Pfalz,1.49,4.01,
4001VRStutt,,Maubach,5,Baden-Württemberg,2.09,5.58,
4002VMBW,,Mauer(bHeidelberg),6,Baden-Württemberg,2.35,6.18,
4003VMBW,,MaulbronnWest,7,Baden-Württemberg,1.9,5.07,
4004VMBW,,Maulburg,6,Baden-Württemberg,2.35,6.18,
4005BEG,,Mausheim,6,Bayern,2.89,7.59,
4006BEG,,Maxhütte-Haidhof,5,Bayern,2.72,7.01,
6226ZÖPNVSüd,,MaximiliansauimRüsten,7,Rheinland-Pfalz,1.49,4.01,
4008ZVRPNord,,MayenOst,6,Rheinland-Pfalz,2.27,5.85,
4009ZVRPNord,,MayenWest,6,Rheinland-Pfalz,2.27,5.85,
4010ZVRPNord,,Mayschoß,6,Rheinland-Pfalz,2.27,5.85,
4012goR,,Mechernich,5,Nordrhein-Westfalen,2.69,7.09,
4013TLBV,,Mechterstädt,6,Thüringen,3.43,9.13,
4014LNVG,,Meckelfeld,5,Niedersachsen,4.79,12.4,
4015VMBW,,Meckenbeuren,4,Baden-Württemberg,3.92,10.18,
4016goR,,Meckenheim,6,Nordrhein-Westfalen,3.77,8.76,
7769goR,,MeckenheimIndustriepark,5,Nordrhein-Westfalen,2.69,7.09,
3385goR,,MeckenheimKottenforst,6,Nordrhein-Westfalen,3.77,8.76,
4017VMBW,,Meckesheim,4,Baden-Württemberg,3.92,10.18,
4020VBB,,Medewitz(Mark),6,Brandenburg,3.98,10.22,
4021BEG,,Meeder,7,Bayern,2.13,5.65,
4022VMS,,Meerane,6,Sachsen,3.63,9.66,
4023VRR,,Meerbusch-Osterath,5,Nordrhein-Westfalen,2.32,5.93,
4025ZVV,,Mehltheuer,6,Sachsen,3.51,9.38,
4026VRR,,Mehrhoog,6,Nordrhein-Westfalen,2.76,7.0,
4027VBBBerlin,,MehrowerAllee,5,Berlin,1.96,5.19,
4028RVB,,Meine,7,Niedersachsen,2.54,6.37,
4031RVB,,Meinersen,6,Niedersachsen,4.87,10.77,
4032NWL,,Meinerzhagen,6,Nordrhein-Westfalen,3.85,9.87,
4033TLBV,,Meiningen,4,Thüringen,5.03,13.4,
4034NASA,,Meinsdorf,6,Sachsen-Anhalt,3.34,8.9,
4036VVO,,Meißen,5,Sachsen,2.08,5.53,
8277VVO,,MeißenAltstadt,5,Sachsen,2.08,5.53,
4037VVO,,MeißenTriebischtal,6,Sachsen,2.85,7.61,
4038BEG,,Meitingen,5,Bayern,2.72,7.01,
4039NASA,,Meitzendorf,6,Sachsen-Anhalt,3.34,8.9,
4040RMV,,Melbach,6,Hessen,2.48,6.52,
4041VBB,,Melchow,6,Brandenburg,3.98,10.22,
4042NAHSH,,Meldorf,6,Schleswig-Holstein,3.53,9.43,
4044LNVG,,Melle,4,Niedersachsen,4.96,13.09,
4046RH,,Mellendorf,5,Niedersachsen,4.35,11.59,
4048TLBV,,Mellingen(Thür),6,Thüringen,3.43,9.13,
7267NAHSH,,Melsdorf,7,Schleswig-Holstein,2.21,5.91,
4050NVV,,Melsungen,6,Hessen,2.73,7.26,
8133NVV,,Melsungen-Bartenwetzerbrücke,6,Hessen,2.73,7.26,
5322NVV,,Melsungen-Röhrenfurth,6,Hessen,2.73,7.26,
8322NVV,,Melsungen-Schwarzenberg,6,Hessen,2.73,7.26,
4051BEG,,Memmingen,3,Bayern,4.75,12.53,
4052goR,,Menden(Rheinl),5,Nordrhein-Westfalen,2.69,7.09,
