@id;name;@lat;@lon;railway;public_transport;Index1_df0;Code_df0;Serviceeinrichtung_df0;Category_df0;State_df0;Price_SPNV_df0;Price_SPFV_df0;Bemerkung_df0;match_type;match_score;match_subtype;confidence;explanation
15431113;Oberdachstetten;49.4179773;10.4237258;station;station;4632;BEG;Oberdachstetten;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
15431862;Windsbach;49.2496872;10.8256999;halt;station;6795;BEG;Windsbach;7.0;Bayern;2,13 €;5,65 €;;exact;100;;;
15432249;Nürnberg-Stein;49.4252777;11.0176745;station;station;4611;BEG;Nürnberg-Stein;5.0;Bayern;2,72 €;7,01 €;;exact;100;;;
15477970;Triesdorf;49.2002517;10.6800339;station;station;6268;BEG;Triesdorf;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
15477972;Gunzenhausen;49.1206793;10.7556064;station;station;2424;BEG;Gunzenhausen;4.0;Bayern;3,19 €;7,89 €;;exact;100;;;
17658611;Darmstadt-Eberstadt;49.8144694;8.6259571;station;station;1131;RMV;Darmstadt-Eberstadt;4.0;Hessen;2,78 €;6,42 €;;exact;100;;;
17658624;Bensheim-Auerbach;49.7016019;8.6132493;station;station;489;VRN;Bensheim-Auerbach;5.0;Hessen;4,94 €;13,18 €;;exact;100;;;
17658630;Bensheim;49.680791;8.616808;station;station;488;VRN;Bensheim;4.0;Hessen;3,47 €;8,57 €;;exact;100;;;
17658651;Hemsbach;49.5913178;8.6486167;station;station;2684;VM BW;Hemsbach;5.0;Baden-Württemberg;2,91 €;7,35 €;;exact;100;;;
19087933;Durmersheim Nord;48.9377105;8.2804795;halt;station;8004;VM BW;Durmersheim Nord;6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
19087937;Durmersheim;48.9286309;8.2724003;station;station;1393;VM BW;Durmersheim;5.0;Baden-Württemberg;2,91 €;7,35 €;;exact;100;;;
19087940;Ötigheim;48.8885741;8.2405252;station;station;4818;VM BW;Ötigheim;5.0;Baden-Württemberg;2,91 €;7,35 €;;exact;100;;;
21276659;Geigant;49.3234133;12.6815188;halt;station;2036;BEG;Geigant;7.0;Bayern;2,13 €;5,65 €;;exact;100;;;
21276684;Willmering;49.2465972;12.6701742;halt;station;6780;BEG;Willmering;7.0;Bayern;2,13 €;5,65 €;;exact;100;;;
21294574;Kulmbach;50.109855;11.4518382;station;station;3458;BEG;Kulmbach;4.0;Bayern;3,19 €;7,89 €;;exact;100;;;
21301567;Wissingen;52.2585366;8.2039781;station;station;6820;LNVG;Wissingen;6.0;Niedersachsen;4,23 €;10,34 €;;exact;100;;;
